time,FluxChecker-I,FluxChecker-V
0,0,0
1e-09,1.1322699051254,1.2963075171278
3e-09,3.3968097153719,3.8889225513799
7e-09,7.9258893358765,9.0741526198955
1.5e-08,16.984048576895,19.444612756893
3.1e-08,35.100367058913,40.185533030993
6.3e-08,71.333004022703,81.667373578872
1.27e-07,143.79827795097,164.63105467524
2.55e-07,288.72882580801,330.55841686575
5.11e-07,578.58992152496,662.41314125666
1.023e-06,1158.3121129518,1326.122590036
2.047e-06,2317.7564958798,2653.5414876183
4.095e-06,4636.6452616203,5308.379282707
8.191e-06,9274.4227930394,10618.054872784
1.6383e-05,18549.977855969,21237.406053275
3.2767e-05,37101.087979515,42476.108413958
6.5535e-05,74203.308223587,84953.513128567
0.000131071,148407.74871864,169908.32257065
0.000262143,296816.629698,339817.94143562
0.000524287,593634.39179824,679637.17927572
0.001048575,1187269.9158349,1359275.6545019
0.002097151,2374540.9614415,2718552.6052224
0.004194303,4749083.0359967,5437106.5039261
0.008388607,9498167.1130166,10874214.32857
0.016777215,18996334.365205,21748429.772968
0.033554431,37992662.179923,43496859.173679
0.067108863,75985263.401046,86993709.125482
0.134217727,151970032.28102,173987334.62593
0.268435455,303936098.79636,347973989.27896
0.3758096374,425505397.69558,487162701.65287
0.4831838198,547069957.90692,626350598.82098
0.6979321846,790173017.93849,904721914.54949
0.86973087644,984633334.36891,1127415160.8356
1.04152956828,1179066671.0751,1350103768.227
1.178968521752,1334593283.8389,1528251205.8938
1.316407475224,1490097359.5905,1706394767.3099
1.4263586380016,1614484768.167,1848906888.3512
1.5363098007792,1738855058.4329,1991416068.8357
1.7562121263344,1987519556.9376,2276421340.2749
1.9321339867786,2186396629.065,2504416179.5282
2.1080558472227,2385213995.0371,2732400743.4505
2.248793335578,2544226692.2399,2914781308.7057
2.3895308239334,2703195547.2967,3097154332.5778
2.5021208146176,2830341048.9375,3243047659.6734
2.6147108053019,2957455613.4578,3388935662.403
2.8398907866704,3211552897.753,3680688973.234
3.0200347717652,3414740121.0804,3914076022.7575
3.2001787568601,3617831223.7988,4147446520.3312
3.3442939449359,3780239403.0833,4334131776.4837
3.4884091330118,3942580076.1006,4520805413.2432
3.6037012834725,4072407786.1061,4670136599.742
3.7189934339331,4202189223.0749,4819459807.4926
3.9495777348545,4461558436.5308,5118072856.4126
4.1340451755916,4668923250.3674,5356940787.7345
4.3185126163287,4876151635.937,5595785208.872
4.4660865689184,5041843667.1793,5786845098.9135
4.6136605215081,5207442032.9634,5977888838.2908
4.7317196835798,5339859059.4551,6130713196.0566
4.8497788456515,5472212898.3099,6283526649.8908
5.085897169795,5736658736.0334,6589108363.6088
5.2747918291098,5948040837.2624,6833543589.5039
5.4636864884246,6159242177.0869,7077947598.0731
5.6148022158764,6328083991.6444,7273450203.3216
5.7659179433283,6496803402.0436,7468931655.8797
5.8868105252897,6631698771.5956,7625302966.2524
6.0077031072512,6766512375.0089,7781660140.8661
6.2494882711741,7035802993.0951,8094316278.644
6.4429164023125,7251012690.9673,8344402652.3924
6.6363445334508,7465993081.8418,8594449341.3405
6.7910870383615,7637826875.6701,8794460624.0931
6.9458295432721,7809506841.0658,8994445264.248
7.0696235472007,7946750450.2645,9154415592.3328
7.1934175511292,8083892009.5604,9314368233.8284
7.4410055589863,8357756992.0656,9634201034.3612
7.639075965272,8576573608.5647,9890019505.557
7.8371463715576,8795108038.1329,10145789000.507
7.9956026965861,8969751047.918,10350372565.27
8.1540590216147,9144206057.5905,10554923475.381
8.2808240816375,9283647731.7384,10718542948.115
8.4075891416603,9422965336.5128,10882140868.123
8.661119261706,9701093868.4132,11209248594.363
8.8639433577425,9923264338.9856,11470876954.553
9.066767453779,10145095316.77,11732446211.921
9.2290267306082,10322338725.339,11941663054.748
9.3912860074374,10499357181.823,12150840722.474
9.5210934289008,10640825889.07,12318157382.171
9.6509008503642,10782146696.891,12485448247.824
9.9105156932909,11064186008.575,12819924884.913
10.118207567632,11289423610.487,13087437430.602
10.325899441974,11514259993.97,13354879873.562
10.492052941447,11693868058.667,13568788190.419
10.65820644092,11873211352.973,13782650194.739
10.791129240498,12016514376.705,13953709768.821
10.924052040077,12159643901.125,14124738968.463
11.189897639234,12445198019.083,14466673856.075
11.402574118559,12673181472.688,14740141135.281
11.615250597885,12900697496.929,15013526388.325
11.785391781346,13082406766.603,15232181290.718
11.955532964806,13263808653.459,15450782184.353
12.091645911574,13408731209.019,15625627935.097
12.227758858343,13553452884.574,15800438350.072
12.49998475188,13842081624.345,16149915782.632
12.717765466709,14072454304.753,16429404280.126
12.935546181538,14302288978.155,16708797915.445
13.109770753402,14485807877.522,16932251276.279
13.283995325265,14668974013.018,17155642331.561
13.423374982756,14815278879.882,17334314925.487
13.562754640247,14961353736.318,17512946847.363
13.67425836624,15078065256.289,17655826106.952
13.785762092232,15194627411.167,17798678951.809
14.008769544218,15427148626.266,18084277827.4
14.187175505806,15612775001.671,18312687695.962
14.365581467394,15798006737.665,18541027533.611
14.508306236665,15945937221.021,18723654187.536
14.651031005935,16093610789.874,18906235213.328
14.765210821352,16211584040.583,19052270604.916
14.879390636768,16329390651.49,19198276359.455
15.107750267601,16564331657.254,19490168260.175
15.290437972268,16751849483.227,19723604317.714
15.473125676934,16938928255.185,19956962100.845
15.619275840667,17088307891.958,20143597773.41
15.7654260044,17237402086.909,20330182497.51
15.882346135387,17356493551.863,20479417429.46
15.999266266373,17475400085.09,20628619311.504
16.233106528346,17712467741.155,20926889714.858
16.420178737924,17901639941.092,21165419750.895
16.607250947503,18090326133.253,21403862653.203
16.756908715165,18240961590.342,21594560744.67
16.906566482828,18391281478.486,21785202209.468
17.026292696958,18511334197.302,21937678878.007
17.146018911088,18631182687.961,22090118836.415
17.385471339349,18870057074.208,22394850729.981
